county_fips,year_id,state_abbrev,county_desc,rucc_code,rural_urban_group,rucc_description,active_pharmacies,openings_in_year,closures_in_year,pharmacies_per_10k_benes,pharmacy_count_change_2019_2023,pharmacy_density_change_2019_2023,benes_ffs_cnt,benes_total_cnt,tot_mdcr_stdzd_pymt_pc,ip_mdcr_stdzd_pymt_pc,op_mdcr_stdzd_pymt_pc,inpatient_spend_share,outpatient_spend_share,er_visits_per_1000,acute_hosp_readmsn_pct,pqi03_dbts_age_lt_65,pqi03_dbts_age_65_74,pqi03_dbts_age_ge_75,pqi05_copd_asthma_age_40_64,pqi05_copd_asthma_age_65_74,pqi05_copd_asthma_age_ge_75,pqi07_hyprtnsn_age_lt_65,pqi07_hyprtnsn_age_65_74,pqi07_hyprtnsn_age_ge_75,pqi08_chf_age_lt_65,pqi08_chf_age_65_74,pqi08_chf_age_ge_75,pqi11_bctrl_pna_age_lt_65,pqi11_bctrl_pna_age_65_74,pqi11_bctrl_pna_age_ge_75
01000,2023,AL,UNKNOWN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01001,2023,AL,Autauga,2,Metro,"Metro - Counties in metro areas of 250,000 to 1 million population",14,0,0,33.3810,1,7.5771,4194,12391,12193.99,3330.98,2500.37,0.273166,0.205049,609.44,0.1952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01003,2023,AL,Baldwin,3,Metro,"Metro - Counties in metro areas of fewer than 250,000 population",90,5,0,37.7027,10,7.1006,23871,64196,12513.63,2725.95,2443.01,0.217838,0.195228,623.94,0.1709,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01005,2023,AL,Barbour,6,Nonmetro,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",9,0,0,47.7200,0,17.8693,1886,6505,14321.81,3316.70,2117.64,0.231584,0.147861,762.99,0.2460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01007,2023,AL,Bibb,1,Metro,Metro - Counties in metro areas of 1 million population or more,8,1,0,60.8828,2,29.8108,1314,4955,13048.81,3649.81,1775.33,0.279704,0.136053,694.06,0.1627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01009,2023,AL,Blount,1,Metro,Metro - Counties in metro areas of 1 million population or more,14,0,0,36.8809,2,14.1622,3796,13429,13254.69,2881.38,2076.90,0.217386,0.156692,632.77,0.1605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01011,2023,AL,Bullock,8,Nonmetro,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",5,0,0,90.5797,0,40.4795,552,2432,14896.84,4182.89,2415.77,0.280790,0.162167,606.88,0.1680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01013,2023,AL,Butler,6,Nonmetro,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",6,0,0,35.6295,1,19.4220,1684,5221,12283.78,2495.52,2185.68,0.203156,0.177932,581.35,0.1391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01015,2023,AL,Calhoun,3,Metro,"Metro - Counties in metro areas of fewer than 250,000 population",43,2,0,37.8755,4,14.8245,11353,28769,13300.19,3267.63,1833.01,0.245683,0.137818,545.41,0.1854,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01017,2023,AL,Chambers,6,Nonmetro,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",12,0,0,40.6229,0,16.8981,2954,9361,11894.34,3014.87,2214.45,0.253471,0.186177,636.09,0.1299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01019,2023,AL,Cherokee,8,Nonmetro,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",8,0,0,26.7112,0,8.0545,2995,7977,13057.58,3402.53,1752.07,0.260579,0.134180,635.73,0.1847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01021,2023,AL,Chilton,1,Metro,Metro - Counties in metro areas of 1 million population or more,10,0,0,40.0000,0,11.4693,2500,10406,13793.80,3154.70,1837.95,0.228704,0.133245,653.60,0.1623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01023,2023,AL,Choctaw,9,Nonmetro,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",4,0,0,24.2866,0,10.1123,1647,3959,14347.30,2918.27,2667.15,0.203402,0.185899,764.42,0.1420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
